,id,nom,commune,isActive,latitude,longitude,cityRank,code_commune
3280,3776,Saint Nizier Mairie,"{'codeCommune': '38433', 'nom': 'Saint-Nizier-du-Moucherotte', 'availableForSeniors': False}",True,45.170787,5.629629,1.0,38433
3281,3775,Saint Nizier Office du tourisme (Panneaux lumineux),"{'codeCommune': '38433', 'nom': 'Saint-Nizier-du-Moucherotte', 'availableForSeniors': False}",True,45.1708912,5.6303966,2.0,38433
3282,3778,Saint Nizier Guillets,"{'codeCommune': '38433', 'nom': 'Saint-Nizier-du-Moucherotte', 'availableForSeniors': False}",True,45.1742532,5.6394571,3.0,38433
3283,3777,Saint Nizier Michallons,"{'codeCommune': '38433', 'nom': 'Saint-Nizier-du-Moucherotte', 'availableForSeniors': False}",True,45.1745028,5.6411415,4.0,38433
3284,2179,Les Meunières,"{'codeCommune': '38435', 'nom': 'Saint-Pancrasse', 'availableForSeniors': False}",True,45.29007,5.85126,,38435
3285,2180,Montée Col du coq,"{'codeCommune': '38435', 'nom': 'Saint-Pancrasse', 'availableForSeniors': False}",True,45.28857,5.84964,,38435
3286,2181,Mairie,"{'codeCommune': '38435', 'nom': 'Saint-Pancrasse', 'availableForSeniors': False}",True,45.29131,5.85915,,38435
3287,2125,La Place 1,"{'codeCommune': '38436', 'nom': 'Saint-Paul-de-Varces', 'availableForSeniors': False}",True,45.0714999,5.6426023,,38436
3288,2126,La Place 2,"{'codeCommune': '38436', 'nom': 'Saint-Paul-de-Varces', 'availableForSeniors': False}",True,45.071462,5.6428007,,38436
3289,2129,Le Poulat 1,"{'codeCommune': '38436', 'nom': 'Saint-Paul-de-Varces', 'availableForSeniors': False}",True,45.0744586,5.6600742,,38436
3290,2130,Le Poulat 2,"{'codeCommune': '38436', 'nom': 'Saint-Paul-de-Varces', 'availableForSeniors': False}",True,45.077392,5.662465,,38436
3291,2131,Lourme,"{'codeCommune': '38436', 'nom': 'Saint-Paul-de-Varces', 'availableForSeniors': False}",True,45.0670596,5.6347541,,38436
3292,2132,Ongrie,"{'codeCommune': '38436', 'nom': 'Saint-Paul-de-Varces', 'availableForSeniors': False}",True,45.0700072,5.6377528,,38436
3293,3064,Mairie,"{'codeCommune': '38442', 'nom': 'Saint-Pierre-de-Chartreuse', 'availableForSeniors': False}",True,45.341692,5.815858,,38442
3294,3065,Plan de ville,"{'codeCommune': '38442', 'nom': 'Saint-Pierre-de-Chartreuse', 'availableForSeniors': False}",True,45.34211,5.814075,,38442
3295,3066,Sortie de village,"{'codeCommune': '38442', 'nom': 'Saint-Pierre-de-Chartreuse', 'availableForSeniors': False}",True,45.344777,5.816879,,38442
3296,3067,La Diat,"{'codeCommune': '38442', 'nom': 'Saint-Pierre-de-Chartreuse', 'availableForSeniors': False}",True,45.33978,5.807738,,38442
3297,3068,La Diat,"{'codeCommune': '38442', 'nom': 'Saint-Pierre-de-Chartreuse', 'availableForSeniors': False}",True,45.339836,5.806946,,38442
3298,3069,Saint-Hugues Eglise,"{'codeCommune': '38442', 'nom': 'Saint-Pierre-de-Chartreuse', 'availableForSeniors': False}",True,45.323835,5.806598,,38442
3299,3070,Saint-Hugues Ecole,"{'codeCommune': '38442', 'nom': 'Saint-Pierre-de-Chartreuse', 'availableForSeniors': False}",True,45.322277,5.805009,,38442
3300,3071,Les Guillets,"{'codeCommune': '38442', 'nom': 'Saint-Pierre-de-Chartreuse', 'availableForSeniors': False}",True,45.316288,5.784277,,38442
