id,code_commune,nom_commune,code_departement,nom_departement,code_region,nom_region,latitude,longitude,commentaire
100,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4378494,3.9655858,VILLENEUVE SUR AISNE / GUIGNICOURT / co voiturage rotonde
101,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4380169,3.9704257,VILLENEUVE SUR AISNE / GUIGNICOURT / City park
102,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4330231,3.9709352,VILLENEUVE SUR AISNE / GUIGNICOURT / Centre social
103,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4344744,3.9663491,VILLENEUVE SUR AISNE / GUIGNICOURT / maison de services publiques
104,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.434593,3.9618749,VILLENEUVE SUR AISNE / GUIGNICOURT / Gare
105,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.432693,3.9532843,VILLENEUVE SUR AISNE / GUIGNICOURT / Covoiturage Mauchamp
106,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4192793,4.0071454,VILLENEUVE SUR AISNE / Menneville Centre
107,2364,Guyencourt,2,Aisne,32,Hauts-de-France,49.3573071,3.8370858,GUYENCOURT
108,2399,Juvincourt-et-Damary,2,Aisne,32,Hauts-de-France,49.4479293,3.8965009,JUVINCOURT ET DAMARY - ABRIBUS
109,2399,Juvincourt-et-Damary,2,Aisne,32,Hauts-de-France,49.4457412,3.8903769,JUVINCOURT ET DAMARY
110,2409,Lappion,2,Aisne,32,Hauts-de-France,49.6075693,3.961858,LAPPION ABRI BUS
111,2430,Liesse-Notre-Dame,2,Aisne,32,Hauts-de-France,49.608642,3.8002031,LIESSE NOTRE DAME - covoiturage
112,2430,Liesse-Notre-Dame,2,Aisne,32,Hauts-de-France,49.6091832,3.8032486,LIESSE NOTRE DAME - abri bus centre
113,2430,Liesse-Notre-Dame,2,Aisne,32,Hauts-de-France,49.6103367,3.8001308,LIESSE NOTRE DAME - parc de la fontaine
114,2430,Liesse-Notre-Dame,2,Aisne,32,Hauts-de-France,49.6053144,3.8054564,LIESSE NOTRE DAME - stade
115,2430,Liesse-Notre-Dame,2,Aisne,32,Hauts-de-France,49.6123876,3.8097667,LIESSE NOTRE DAME - casier producteur
116,2440,Lor,2,Aisne,32,Hauts-de-France,49.5299043,4.045574,LOR ABRI BUS
117,2448,Mâchecourt,2,Aisne,32,Hauts-de-France,49.6537764,3.839516,MACHECOURT
118,2453,Maizy,2,Aisne,32,Hauts-de-France,49.376523,3.7348627,MAIZY
119,2453,Maizy,2,Aisne,32,Hauts-de-France,49.3789017,3.7317379,MAIZY
120,2453,Maizy,2,Aisne,32,Hauts-de-France,49.3788413,3.6853643,MAIZY HAUTES RIVES
121,2454,Malmaison,2,Aisne,32,Hauts-de-France,49.5156973,3.9794654,LA MALMAISON - PLACE DE LA MAIRIE
122,2454,Malmaison,2,Aisne,32,Hauts-de-France,49.5139267,3.9769877,LA MALMAISON REPUBLIQUE
123,2457,Marchais,2,Aisne,32,Hauts-de-France,49.5846626,3.8173366,MARCHAIS
124,2457,Marchais,2,Aisne,32,Hauts-de-France,49.5833566,3.8166446,MARCHAIS  - MAIRIE
125,2472,Mauregny-en-Haye,2,Aisne,32,Hauts-de-France,49.5311352,3.7944105,MAUREGNY EN HAYE
126,2472,Mauregny-en-Haye,2,Aisne,32,Hauts-de-France,49.532163,3.7978591,MAUREGNY EN HAYE
127,2482,Meurival,2,Aisne,32,Hauts-de-France,49.3581897,3.7612497,MEURIVAL
128,2486,Missy-lès-Pierrepont,2,Aisne,32,Hauts-de-France,49.6329845,3.7855669,MISSY LES PIERREPONT - MAIRIE
129,2498,Montaigu,2,Aisne,32,Hauts-de-France,49.5355309,3.8270648,MONTAIGU
130,2498,Montaigu,2,Aisne,32,Hauts-de-France,49.5338572,3.8354386,MONTAIGU
131,2534,Muscourt,2,Aisne,32,Hauts-de-France,49.3646631,3.7479235,MUSCOURT
132,2541,Neufchâtel-sur-Aisne,2,Aisne,32,Hauts-de-France,49.4317219,4.0343594,NEUFCHATEL SUR AISNE
133,2541,Neufchâtel-sur-Aisne,2,Aisne,32,Hauts-de-France,49.4322618,4.0301711,NEUFCHATEL SUR AISNE
134,2553,Nizy-le-Comte,2,Aisne,32,Hauts-de-France,49.565754,4.0539336,NIZY-LE-COMTE
